Date,Open,High,Low,Close,Volume,Adj Close
2017-04-04,31.219999,31.360001,30.98,31.049999,5830600,31.049999
2017-04-03,31.389999,31.41,30.83,31.10,5670100,31.10
2017-03-31,31.030001,31.379999,31.01,31.280001,3785400,31.280001
2017-03-30,31.02,31.059999,30.57,30.99,3509100,30.99
2017-03-29,31.00,31.120001,30.809999,31.02,2567800,31.02
2017-03-28,30.809999,31.049999,30.629999,31.00,3048200,31.00
2017-03-27,30.41,31.09,30.41,30.790001,5357600,30.790001
2017-03-24,30.73,30.799999,30.540001,30.610001,5242000,30.610001
2017-03-23,30.440001,30.870001,30.440001,30.57,7918600,30.57
2017-03-22,30.110001,30.65,30.049999,30.49,7014700,30.49
2017-03-21,30.25,30.299999,29.92,30.01,4773100,30.01
2017-03-20,30.42,30.48,30.08,30.17,2606500,30.17
2017-03-17,30.030001,30.41,29.92,30.120001,4369900,30.120001
2017-03-16,30.01,30.23,29.870001,30.02,2616500,30.02
2017-03-15,29.690001,30.24,29.58,30.08,3834600,30.08
2017-03-14,29.719999,29.790001,29.41,29.51,3089400,29.51
2017-03-13,29.83,30.00,29.559999,29.780001,3476600,29.780001
2017-03-10,29.75,30.299999,29.530001,29.76,3360700,29.76
2017-03-09,30.35,30.469999,29.59,29.75,2531900,29.75
2017-03-08,31.059999,31.059999,30.309999,30.360001,2939600,30.360001
2017-03-07,31.360001,31.43,30.969999,31.299999,3761700,31.299999
2017-03-06,32.049999,32.16,31.389999,31.50,3537400,31.50
2017-03-03,32.040001,32.25,31.60,32.200001,3525700,32.200001
2017-03-02,32.139999,32.259998,31.77,32.110001,3164800,32.110001
2017-03-01,32.59,32.59,32.150002,32.200001,3900300,32.200001
2017-02-28,32.75,32.970001,32.599998,32.790001,4492800,32.790001
2017-02-27,32.73,32.900002,32.57,32.73,3066600,32.73
2017-02-24,32.040001,32.689999,31.950001,32.639999,3826800,32.639999
2017-02-23,31.780001,32.16,31.639999,32.130001,2587000,32.130001
2017-02-22,31.48,31.91,31.43,31.639999,4128400,31.639999
2017-02-21,31.00,31.51,30.74,31.40,3292900,31.40
2017-02-17,30.969999,31.110001,30.75,31.07,2221900,31.07
2017-02-16,30.50,31.290001,30.50,30.98,3027000,30.98
2017-02-15,30.32,30.459999,29.860001,30.42,2874500,30.42
2017-02-14,30.73,30.83,30.219999,30.41,2626000,30.41
2017-02-13,30.50,30.92,30.309999,30.85,2809300,30.85
2017-02-10,30.610001,30.809999,30.549999,30.700001,3180300,30.330001
2017-02-09,30.91,31.059999,30.620001,30.68,4713500,30.310241
2017-02-08,30.860001,31.129999,30.77,30.91,2260600,30.537469
2017-02-07,31.00,31.09,30.68,30.75,3173200,30.379397
2017-02-06,30.75,30.93,30.540001,30.92,3455000,30.547349
2017-02-03,30.799999,31.00,30.58,30.75,3843800,30.379397
2017-02-02,30.00,30.719999,29.879999,30.700001,4155200,30.330001
2017-02-01,30.33,30.629999,29.809999,30.040001,5473900,29.677955
2017-01-31,30.139999,30.77,29.76,30.32,23569800,29.954579
2017-01-30,29.59,30.129999,29.360001,30.07,6768000,29.707592
2017-01-27,29.67,29.719999,29.389999,29.559999,4119400,29.203739
2017-01-26,29.940001,30.07,29.530001,29.60,5316000,29.243258
2017-01-25,30.50,30.610001,29.68,29.879999,6139000,29.519882
2017-01-24,30.34,30.48,30.030001,30.24,3119300,29.875544
2017-01-23,30.110001,30.370001,29.959999,30.33,2467200,29.964459
2017-01-20,29.950001,30.15,29.870001,30.07,3125100,29.707592
2017-01-19,30.41,30.41,29.75,29.959999,4535300,29.598918
2017-01-18,30.549999,30.92,30.530001,30.549999,3027700,30.181807
2017-01-17,30.33,30.73,30.33,30.68,2849100,30.310241
2017-01-13,30.34,30.51,29.99,30.219999,2695000,29.855784
2017-01-12,30.40,30.50,29.99,30.41,2942700,30.043495
2017-01-11,30.10,30.49,29.969999,30.40,5660000,30.033615
2017-01-10,30.709999,30.75,29.950001,30.049999,4303000,29.687833
2017-01-09,31.23,31.35,30.809999,30.809999,4347300,30.438674
2017-01-06,31.129999,31.48,30.620001,31.219999,5003800,30.843732
2017-01-05,30.549999,31.26,30.25,31.15,4948900,30.774576
2017-01-04,29.889999,30.57,29.809999,30.440001,5343100,30.073134
2017-01-03,29.879999,29.92,29.52,29.780001,3083500,29.421089
2016-12-30,29.48,29.84,29.33,29.719999,3985100,29.36181
2016-12-29,29.10,29.469999,28.959999,29.360001,3982200,29.00615
2016-12-28,29.40,29.40,28.799999,29.01,3728200,28.660368
2016-12-27,29.26,29.49,29.15,29.370001,2449600,29.01603
2016-12-23,29.280001,29.40,29.07,29.26,2149400,28.907355
2016-12-22,29.34,29.43,28.889999,29.18,3367700,28.828319
2016-12-21,30.02,30.290001,29.33,29.370001,2778300,29.01603
2016-12-20,30.209999,30.42,29.809999,30.02,3538100,29.658196
2016-12-19,29.41,30.43,29.41,30.299999,4574500,29.93482
2016-12-16,28.459999,29.26,28.41,29.139999,8264300,28.788801
2016-12-15,28.969999,29.049999,28.299999,28.41,7020900,28.067599
2016-12-14,30.40,30.459999,28.969999,29.01,6635900,28.660368
2016-12-13,30.549999,30.68,30.040001,30.389999,4855200,30.023736
2016-12-12,29.91,30.360001,29.73,30.35,4224600,29.984219
2016-12-09,30.190001,30.58,29.950001,30.040001,4324400,29.677955
2016-12-08,29.870001,30.440001,29.700001,30.110001,4607000,29.747111
2016-12-07,29.549999,30.190001,29.50,30.129999,3792200,29.766869
2016-12-06,29.280001,29.629999,29.190001,29.43,3374500,29.075306
2016-12-05,29.15,29.26,28.82,29.23,3194500,28.877716
2016-12-02,28.76,29.459999,28.76,29.08,2709300,28.729524
2016-12-01,29.33,29.35,28.42,28.610001,4239800,28.265189
2016-11-30,29.33,29.67,29.01,29.530001,5586500,29.174102
2016-11-29,29.379999,29.90,29.33,29.60,4169200,29.243258
2016-11-28,29.25,29.780001,29.200001,29.379999,4247400,29.025908
2016-11-25,29.59,29.65,29.129999,29.26,2109100,28.907355
2016-11-23,29.16,29.57,28.92,29.51,4938300,29.154342
2016-11-22,29.030001,29.43,28.549999,29.40,3896900,29.045667
2016-11-21,29.02,29.33,28.60,28.67,3473200,28.324466
2016-11-18,28.780001,28.940001,28.48,28.68,3052700,28.334346
2016-11-17,29.209999,29.35,28.67,28.76,2695200,28.413381
2016-11-16,29.34,29.610001,29.07,29.32,2261100,28.966632
2016-11-15,29.51,29.959999,28.98,29.41,4668700,29.055547
2016-11-14,27.98,29.51,27.85,29.40,5546000,29.045667
2016-11-11,27.85,28.41,27.85,28.10,4526300,27.761336
2016-11-10,28.66,28.790001,27.610001,27.940001,7961200,27.603264
2016-11-09,28.76,29.379999,27.889999,28.83,6493700,28.482537
2016-11-08,29.82,29.84,29.280001,29.709999,4477000,29.351931
2016-11-07,29.940001,30.280001,29.66,30.26,5102100,29.529762
2016-11-04,28.77,29.57,28.610001,29.52,7522400,28.80762
2016-11-03,29.23,29.23,28.379999,28.67,6363100,27.978132
2016-11-02,30.41,30.450001,29.219999,29.23,6656600,28.524617
2016-11-01,30.950001,32.32,30.25,30.469999,10682700,29.734693
2016-10-31,34.270003,34.450001,34.130001,34.250002,5827500,30.440325
2016-10-28,34.210002,34.460001,34.060002,34.140001,3650300,30.342559
2016-10-27,35.000002,35.000002,34.020001,34.080002,4387800,30.289234
2016-10-26,35.540003,35.62,34.870002,35.070001,4188900,31.169114
2016-10-25,36.13,36.150001,35.580003,35.590001,3507500,31.631274
2016-10-24,36.09,36.520003,35.800002,36.080002,3135700,32.066771
2016-10-21,36.380001,36.60,35.780002,35.850001,4724400,31.862353
2016-10-20,36.77,36.990003,36.570002,36.660001,2611200,32.582256
2016-10-19,36.71,37.35,36.60,36.850002,3194100,32.751122
2016-10-18,36.56,37.090001,36.380001,36.690004,2716100,32.608921
2016-10-17,36.26,36.630003,36.09,36.320001,2777800,32.280074
2016-10-14,36.470001,36.670003,36.13,36.24,1795200,32.208972
2016-10-13,35.930002,36.650003,35.760002,36.470001,3130600,32.41339
2016-10-12,35.720001,36.120002,35.630002,36.09,2416000,32.075657
2016-10-11,35.96,36.140002,35.530001,35.750004,2287400,31.773479
2016-10-10,35.950002,36.290002,35.900003,36.060001,1575200,32.048995
2016-10-07,36.11,36.71,35.850001,35.910001,2972400,31.91568
2016-10-06,36.180003,36.390004,35.68,35.950002,2837100,31.951231
2016-10-05,36.970003,37.190002,36.060001,36.310003,3217000,32.271188
2016-10-04,37.760003,37.82,36.460003,36.840003,4699400,32.742236
2016-10-03,37.780003,38.090001,37.510002,37.610003,3345100,33.426588
2016-09-30,38.820001,39.10,37.920001,37.950004,4596400,33.72877
2016-09-29,39.170003,39.320003,38.520001,38.540001,3209000,34.253141
2016-09-28,38.920002,39.370002,38.810003,39.340003,2315800,34.964158
2016-09-27,39.600003,39.610001,38.660003,38.76,4077400,34.448669
2016-09-26,39.120001,39.70,39.040004,39.600003,3768700,35.195237
2016-09-23,38.810003,39.53,38.46,39.280003,3515900,34.910831
2016-09-22,38.400003,38.980003,38.33,38.91,3195800,34.581984
2016-09-21,37.630004,38.210003,37.120003,38.150002,2842600,33.906522
2016-09-20,37.730001,37.950004,37.54,37.640002,2779700,33.45325
2016-09-19,37.310003,37.510002,37.210002,37.440003,2902800,33.275497
2016-09-16,36.88,37.22,36.650003,37.160004,4717900,33.026642
2016-09-15,36.890002,37.210002,36.650003,37.03,2594600,32.911099
2016-09-14,37.120003,37.320002,36.690004,36.940001,3294000,32.831111
2016-09-13,37.900001,38.01,36.810001,36.950003,4231600,32.84
2016-09-12,37.900001,38.450002,37.67,38.100004,5721500,33.862085
2016-09-09,39.190004,39.190004,37.82,38.130002,7225900,33.888746
2016-09-08,40.080001,40.080001,39.38,39.600003,7957800,35.195237
2016-09-07,40.02,40.430003,39.980004,40.330002,3447800,35.844037
2016-09-06,39.180001,40.150004,39.010001,40.130004,4007700,35.666285
2016-09-02,38.91,39.580002,38.730002,39.08,2151000,34.733075
2016-09-01,39.350001,39.390002,38.59,38.80,2929700,34.48422
2016-08-31,39.430003,39.590001,39.10,39.330001,3368700,34.955268
2016-08-30,39.23,39.440001,38.870003,39.42,2401700,35.035257
2016-08-29,38.740004,39.38,38.740004,39.130003,2053000,34.777516
2016-08-26,39.670002,39.790003,38.430002,38.740004,3233300,34.430897
2016-08-25,39.460001,39.900003,39.370002,39.580002,1898100,35.177461
2016-08-24,39.790003,39.920003,39.23,39.460001,1721400,35.070808
2016-08-23,39.630001,39.990002,39.470003,39.780001,2638500,35.355214
2016-08-22,39.480001,39.710002,39.240002,39.42,3926000,35.035257
2016-08-19,39.72,39.960003,39.260002,39.470003,4414700,35.079697
2016-08-18,39.490003,39.960003,39.490003,39.840002,4384100,35.408541
2016-08-17,39.310001,39.74,39.030001,39.610001,6214600,35.204123
2016-08-16,39.300003,39.350001,39.050002,39.23,5353300,34.86639
2016-08-15,39.130003,39.510004,39.06,39.490003,4180300,35.097473
2016-08-12,38.620002,39.480001,38.560001,39.130003,2929900,34.777516
2016-08-11,39.490003,39.600003,38.340003,38.560001,4643400,34.270917
2016-08-10,39.08,39.87,39.08,39.500001,5030400,35.106359
2016-08-09,38.490003,39.120001,38.000002,38.95,4946200,34.617535
2016-08-08,38.44,38.680003,38.270004,38.44,2224500,34.164263
2016-08-05,38.500001,38.690001,38.300002,38.410001,2037300,34.137601
2016-08-04,38.430002,38.580002,38.18,38.500001,2568300,34.21759
2016-08-03,39.000003,39.130003,38.400003,39.090002,2924000,34.230923
2016-08-02,39.340003,39.470003,38.820001,38.960003,2705700,34.117083
2016-08-01,39.23,39.480001,39.020003,39.450003,2515300,34.546174
2016-07-29,39.050002,39.600003,39.040004,39.23,5282600,34.353519
2016-07-28,38.690001,39.180001,38.370001,39.020003,3645900,34.169626
2016-07-27,38.790002,38.860001,38.320002,38.670001,3049500,33.86313
2016-07-26,38.880001,38.980003,38.620002,38.820001,3492500,33.994484
2016-07-25,38.900002,39.08,38.600002,39.08,3078800,34.222165
2016-07-22,38.46,39.000003,38.380003,38.900002,2879300,34.064541
2016-07-21,38.230003,38.710001,38.090001,38.550003,3479700,33.758049
2016-07-20,38.080003,38.340003,37.850002,38.340003,3812900,33.574152
2016-07-19,37.50,38.170002,37.330004,38.130002,3205200,33.390256
2016-07-18,37.470001,37.600001,37.170002,37.37,3073900,32.724726
2016-07-15,36.970003,37.50,36.780003,37.430001,4125400,32.777268
2016-07-14,37.280001,37.340002,36.660001,36.950003,2778200,32.356936
2016-07-13,37.140003,37.430001,36.630003,37.430001,3751600,32.777268
2016-07-12,36.590002,37.300001,36.440002,37.03,6231700,32.426989
2016-07-11,36.000001,36.660001,35.79,36.540004,4478300,31.997902
2016-07-08,35.380001,35.94,34.990002,35.94,4425000,31.472482
2016-07-07,35.420001,35.500002,34.560002,34.880002,3902300,30.544247
2016-07-06,35.62,35.77,35.120001,35.530001,3039800,31.113447
2016-07-05,35.30,35.740001,35.21,35.730003,3733200,31.288589
2016-07-01,35.480002,35.850001,35.260003,35.32,2579600,30.929551
2016-06-30,35.460002,35.580003,34.830002,35.380001,3877300,30.982093
2016-06-29,35.040002,35.62,34.980002,35.370003,4096700,30.973338
2016-06-28,34.430003,34.980002,34.210002,34.970001,5379200,30.623059
2016-06-27,34.070002,34.320001,33.600002,34.180001,5117400,29.93126
