Date,Open,High,Low,Close,Volume,Adj Close
2017-04-04,173.520004,174.960007,173.259995,174.520004,3097400,174.520004
2017-04-03,173.820007,174.869995,173.380005,174.50,4271600,174.50
2017-03-31,173.979996,174.949997,173.690002,174.139999,2911200,174.139999
2017-03-30,173.860001,174.589996,173.690002,173.860001,3153000,173.860001
2017-03-29,174.300003,174.490005,173.460007,173.940002,3039600,173.940002
2017-03-28,173.940002,175.00,173.00,174.509995,3506300,174.509995
2017-03-27,172.690002,174.160004,172.089996,173.770004,3217700,173.770004
2017-03-24,175.119995,175.50,173.389999,173.830002,3178900,173.830002
2017-03-23,174.429993,175.669998,173.559998,174.820007,3615400,174.820007
2017-03-22,174.039993,175.059998,172.800003,174.779999,3426800,174.779999
2017-03-21,176.009995,176.229996,173.839996,173.880005,3883700,173.880005
2017-03-20,175.649994,176.179993,175.139999,175.699997,2334400,175.699997
2017-03-17,176.289993,176.789993,175.649994,175.649994,5843800,175.649994
2017-03-16,178.460007,179.00,176.820007,177.240005,4263800,177.240005
2017-03-15,175.710007,176.279999,174.75,175.809998,3695200,175.809998
2017-03-14,176.179993,176.820007,175.210007,175.720001,3144300,175.720001
2017-03-13,177.850006,178.059998,176.419998,176.460007,3428900,176.460007
2017-03-10,178.210007,179.490005,177.419998,177.830002,3089000,177.830002
2017-03-09,179.149994,179.25,175.880005,177.179993,5413100,177.179993
2017-03-08,180.75,180.949997,179.300003,179.449997,3520000,179.449997
2017-03-07,180.710007,181.289993,180.199997,180.380005,2930800,180.380005
2017-03-06,179.720001,180.990005,179.570007,180.470001,3180900,180.470001
