Date,Open,High,Low,Close,Volume,Adj Close
2017-04-04,129.470001,130.369995,129.020004,130.039993,2021700,130.039993
2017-04-03,129.589996,130.75,128.880005,129.589996,2336800,129.589996
2017-03-31,129.570007,130.690002,129.399994,130.130005,2084100,130.130005
2017-03-30,129.550003,130.279999,129.300003,129.610001,2204800,129.610001
2017-03-29,128.399994,129.630005,128.199997,129.580002,2235800,129.580002
2017-03-28,127.809998,129.279999,127.809998,128.690002,2213000,128.690002
2017-03-27,127.480003,128.839996,126.360001,128.25,2424200,128.25
2017-03-24,127.860001,129.00,127.050003,127.699997,3029500,127.699997
2017-03-23,126.199997,127.25,126.010002,126.870003,2197200,126.870003
2017-03-22,124.599998,126.940002,124.510002,126.209999,3451300,126.209999
2017-03-21,126.639999,127.360001,124.959999,125.07,3070800,125.07
2017-03-20,126.989998,128.089996,125.790001,126.309998,3252400,126.309998
2017-03-17,128.449997,130.300003,126.940002,127.010002,8743300,127.010002
2017-03-16,123.25,123.599998,121.529999,122.349998,3822600,122.349998
2017-03-15,122.00,122.419998,120.900002,122.110001,2393700,122.110001
2017-03-14,121.650002,121.989998,120.620003,121.440002,1507500,121.440002
2017-03-13,121.110001,121.959999,120.889999,121.800003,1786300,121.800003
2017-03-10,120.57,121.370003,120.239998,121.089996,2211000,121.089996
2017-03-09,119.82,120.260002,119.110001,119.910004,1981900,119.910004
2017-03-08,120.209999,120.660004,119.349998,119.599998,2962800,119.599998
2017-03-07,120.059998,120.690002,119.690002,119.980003,1802200,119.980003
2017-03-06,119.730003,120.480003,119.370003,120.150002,1979700,120.150002
