"ftwhite","ftblack","ftmuslim","presjob","srv_spend","crimespend","party","ideo5","age","race_white","female"
52,50,51,2,3,1,"Independent",NA,64,1,0
87,78,78,2,6,2,"Democrat",2,55,1,1
75,73,50,5,5,2,"Democrat",3,77,1,1
51,50,0,7,2,4,NA,5,79,1,0
85,78,49,6,997,4,"Republican",4,62,1,0
72,71,72,1,4,3,"Democrat",1,50,1,1
45,80,50,2,5,4,"Democrat",1,41,0,1
59,61,51,2,3,3,"Republican",3,59,1,0
55,50,52,7,2,1,"Independent",NA,58,1,0
50,50,34,6,4,3,"Republican",4,57,1,1
81,89,72,2,4,2,"Democrat",2,54,0,0
99,62,10,7,1,2,"Democrat",3,75,1,1
61,50,50,5,1,2,"Republican",3,75,1,1
96,90,8,4,997,2,"Republican",NA,66,1,1
45,48,2,6,1,4,"Democrat",4,78,0,0
62,61,35,7,1,4,"Democrat",4,56,1,0
63,50,45,4,4,3,"Democrat",3,38,0,0
86,90,79,7,3,2,"Independent",3,68,1,1
100,80,79,1,6,2,"Democrat",1,57,1,0
60,57,95,2,7,4,"Democrat",1,55,0,0
75,75,51,2,6,4,"Independent",3,60,1,1
100,76,2,6,997,4,"Republican",4,39,1,0
45,95,71,2,5,3,"Democrat",3,57,0,0
45,50,18,7,1,2,"Republican",3,61,1,1
74,15,10,7,4,2,"Republican",4,34,1,0
75,60,56,1,3,2,"Democrat",2,51,1,0
50,12,50,7,1,4,"Independent",4,41,1,1
78,23,0,7,997,4,"Republican",3,52,1,1
100,1,1,7,2,3,"Republican",5,63,1,0
92,88,21,5,4,2,"Republican",4,66,1,1
96,45,33,7,2,3,"Republican",4,61,1,1
68,66,37,2,4,3,NA,4,44,1,0
85,95,90,1,4,2,"Democrat",3,61,0,0
100,100,66,7,1,2,"Republican",5,52,1,0
95,92,0,7,7,1,"Independent",4,58,1,0
100,99,100,2,7,3,"Democrat",1,63,1,0
95,70,15,7,2,4,"Republican",5,74,1,1
100,100,22,7,5,1,"Independent",3,66,1,1
100,100,80,2,4,3,"Democrat",1,52,0,1
86,86,10,2,2,3,"Democrat",3,70,1,0
35,48,14,3,997,4,"Democrat",3,44,0,1
92,72,21,7,1,3,"Republican",4,78,1,0
85,93,13,7,2,5,"Republican",4,62,1,0
73,60,50,6,3,4,"Independent",3,62,1,1
50,50,30,6,1,5,"Independent",4,26,1,0
51,50,48,2,4,5,"Democrat",2,35,0,1
100,9,0,7,1,2,"Independent",4,66,1,0
51,55,11,7,997,4,"Independent",NA,36,1,1
88,87,73,2,5,3,"Democrat",2,76,1,1
100,100,0,7,1,1,"Republican",5,80,1,0
55,100,100,1,6,5,"Democrat",1,55,0,1
61,19,6,7,1,2,"Republican",4,30,1,1
98,51,6,7,4,2,"Independent",4,62,1,0
68,58,5,7,4,2,"Republican",4,57,1,0
76,76,65,6,4,3,"Republican",4,57,1,1
99,80,80,1,5,2,"Democrat",2,48,1,1
79,51,1,7,997,1,"Independent",4,70,1,0
67,83,8,7,7,5,"Republican",4,84,1,1
95,10,10,7,1,3,"Republican",4,59,1,1
54,87,86,3,997,1,"Democrat",2,61,0,1
50,51,18,6,3,4,"Independent",3,37,1,0
50,75,50,1,5,2,"Democrat",2,41,1,1
70,97,80,2,4,4,"Democrat",1,60,1,1
100,85,41,7,1,2,"Republican",4,43,1,0
50,50,31,7,1,4,"Independent",5,63,1,1
0,50,3,7,4,4,"Independent",5,36,1,1
64,88,95,1,7,4,"Independent",3,64,1,1
100,100,90,2,5,4,"Democrat",3,42,1,0
72,70,70,7,3,4,"Republican",3,59,1,1
53,43,43,7,4,4,"Independent",3,34,1,0
50,50,50,7,1,NA,"Independent",4,55,0,1
91,82,0,7,3,2,"Republican",5,91,1,0
70,2,0,7,1,4,"Republican",4,36,1,0
91,52,0,7,4,3,"Independent",3,64,1,0
50,50,50,2,3,4,"Democrat",1,32,1,1
98,59,5,7,1,7,"Republican",5,56,1,1
99,87,63,7,997,2,"Republican",5,79,1,0
86,97,51,1,997,4,"Democrat",3,38,1,0
80,91,81,2,6,2,"Democrat",2,55,1,1
40,61,11,2,4,1,"Democrat",4,62,0,0
55,50,10,7,2,4,"Republican",5,56,1,1
56,49,23,7,3,2,"Democrat",NA,64,1,1
71,71,65,2,997,1,"Democrat",4,75,0,1
99,0,3,7,1,1,"Independent",5,75,1,0
87,83,75,2,5,5,"Independent",3,55,1,1
70,27,1,7,1,2,"Republican",4,27,1,0
98,62,1,7,2,4,"Independent",4,49,1,0
42,55,0,7,1,2,"Republican",4,54,1,1
73,79,75,3,5,3,"Independent",2,40,0,0
75,58,31,3,5,3,"Democrat",3,61,1,1
85,85,50,7,1,6,"Independent",3,57,1,0
91,96,51,5,5,4,"Independent",1,60,1,1
52,70,50,6,5,2,"Independent",3,65,1,1
78,75,61,6,3,4,"Independent",3,69,1,1
87,89,40,7,2,2,"Republican",4,69,1,0
50,50,50,7,1,5,"Republican",5,32,1,1
100,100,45,7,1,4,"Republican",3,77,1,1
100,100,96,2,6,4,"Independent",2,38,1,1
70,70,40,6,2,1,"Independent",4,84,1,1
62,63,60,1,997,4,"Democrat",5,43,1,1
100,99,49,3,7,2,"Democrat",1,61,1,1
53,41,50,7,2,4,"Republican",4,46,1,1
51,50,30,7,1,4,"Independent",4,74,1,0
99,66,27,6,1,4,"Republican",4,56,1,1
84,72,63,1,5,3,"Democrat",2,58,1,1
50,50,50,7,2,5,"Independent",4,70,1,0
88,75,1,1,3,4,"Democrat",3,44,1,1
83,50,2,7,3,2,"Independent",4,44,1,0
53,53,55,4,4,3,"Independent",3,28,1,1
51,51,1,7,1,7,"Independent",4,53,1,0
60,46,0,7,3,2,"Democrat",4,51,1,0
11,69,43,2,6,2,"Democrat",1,28,1,0
73,87,72,2,7,1,"Democrat",2,68,1,0
60,51,31,7,4,4,"Independent",4,40,1,0
17,38,14,4,3,4,"Republican",4,39,0,0
100,30,5,7,1,1,"Republican",3,62,1,1
31,58,51,2,6,1,"Democrat",3,61,0,1
100,100,95,3,5,3,"Independent",5,39,1,1
100,100,100,2,2,4,"Independent",2,53,1,1
50,50,45,6,2,1,"Republican",3,33,1,0
50,14,8,6,2,4,"Republican",4,40,1,1
48,64,52,2,4,2,"Democrat",1,52,1,1
78,81,70,1,7,4,"Democrat",2,57,1,1
80,80,75,4,4,3,NA,4,39,1,0
94,44,41,3,1,3,"Democrat",3,41,1,0
61,50,51,3,5,3,"Republican",3,63,1,0
80,50,0,7,3,3,"Republican",5,50,1,0
88,60,50,2,3,3,"Democrat",3,60,1,1
100,82,1,7,4,3,"Republican",4,60,1,0
52,49,20,7,4,3,"Independent",4,83,1,1
50,50,50,2,2,4,"Democrat",2,62,1,1
97,59,2,3,5,3,"Democrat",3,77,1,1
100,100,0,7,997,7,"Republican",NA,58,0,0
25,24,7,6,4,3,"Democrat",3,59,1,1
79,78,75,2,6,2,"Democrat",1,28,1,1
42,70,62,2,7,2,"Independent",2,62,0,0
50,50,41,7,3,3,"Republican",3,60,1,0
69,79,59,1,7,4,"Independent",2,75,0,0
51,50,11,7,1,2,"Independent",3,78,1,1
59,31,6,7,4,4,"Republican",5,80,1,0
70,51,1,7,1,3,"Independent",4,59,1,0
70,92,91,3,6,2,"Independent",3,49,1,0
90,80,90,1,997,2,"Democrat",2,60,0,0
90,88,40,1,3,3,"Democrat",3,83,1,1
85,85,81,3,4,4,"Independent",2,20,1,0
62,93,81,2,6,3,"Democrat",1,61,1,0
98,99,98,1,7,6,"Independent",2,64,1,1
98,19,9,7,1,2,"Republican",4,41,1,1
50,50,50,7,1,7,NA,4,28,0,0
50,50,50,6,2,4,NA,5,59,1,0
99,100,60,1,997,2,"Democrat",2,69,0,1
100,15,1,7,5,4,"Republican",3,57,1,0
71,69,79,1,7,3,"Democrat",2,70,1,1
73,56,48,1,6,2,"Democrat",2,39,1,1
55,55,1,7,1,1,NA,5,58,0,0
83,63,5,7,4,4,"Independent",3,60,1,0
89,89,40,7,4,3,NA,3,64,1,1
71,72,22,6,4,3,"Republican",3,61,1,1
75,95,92,1,5,4,"Democrat",1,67,1,0
